当前卡组卡图,當前卡組卡圖,Current Deck Card Images,L'image des cartes du Deck actuel,Alle Bilder des aktuellen Decks,Immagine Carte Deck Corrente,Imagens do Deck atual,Imágenes de las Cartas del Deck Actual,現在のデッキ画像,현재 덱 이미지
所有衍生物卡图,所有衍生物卡圖,All Token Card Images,Toutes les images de cartes de Jeton,Alle Token-Kartenbilder,Tutti i Segnalini Delle Immagini Delle Carte,Todas as Imagens de tokens,Imágenes de Todas las Fichas de Cartas,全てのトークン画像を保存する,모든 토큰 이미지를 저장
所有卡图,所有卡圖,All Card Images,Toutes les images de cartes,Alle Kartenbilder,Tutte Le Immagini Delle Carte,Todas as Imagens,Imágenes de Todas las Cartas,全ての画像を保存する,모든 이미지를 저장
卡图保存中,卡圖保存中,Saving Card Images,Sauvegarder la carte,Kartenbilder werden gespeichert,Salvataggio Carte,Salvando...,Guardando...,画像を保存中,이미지 저장 중
错误：,錯誤：,Error:,Erreur:,Fehler:,Errore:,Erro:,Errores:,エラー：,오류:
#EditDeck Search Filter,,,,,,,,,
筛选菜单,篩選菜單,Filter Menu,Menu Filtre,Filter-Menü,Menu Dei Filtri,Filtros,Menú de Filtros,フィルターメニュー,필터 메뉴
卡片种类,卡片種類,Card Frame,Type de carte,Kartenrahmen,Tipo Di Carta,Tipo de Card,Tipo de Carta,カード種類,카드 종류
属性,屬性,Attribute,Attribut,Eigenschaft,Attributo,Atributo,Atributo,属性,속성
魔法·陷阱的种类,魔法·陷阱的種類,Types of Spell and Traps,Types de sorts et de pièges,Typen von Magie und Fallen,Tipi Di Magie E Trappole,Tipo Magia/Armadilha,Tipo de MÁGICA & TRAMPA,魔法・罠の種類,마법·함정 종류
种族,種族,Type,Type,Typ,Tipo,Tipo,Raza,種族,종족
能力·其他,能力·其他,Abilities/Other,Attribut/Autre,Fähigkeiten/Sonstiges,Attributo/Altro,Efeitos/Outros,Habilidad/Otros,能力・その他,능력·기타
效果以外,效果以外,Non-Effect,Non-effet,Nichteffekt,Non-Effetto,Não-Efeito,Normal,効果以外,효과 이외
限制,限制,Limited,Limité,Grenze,Limitato,Restrição,Limitada,制限,제한
无限制,無限制,Unlimited,Illimité,Unbegrenzt,Senza Limite,Sem Restrição,No-Limitada,無制限,무제한
卡池,卡池,Card Pool,Pool de cartes,Kartenpool,Pool Di Carte,Card Pool,Grupo de Cartas,カードプール,카드 풀
OCG独有,OCG獨有,OCG Only,OCG seulement,Nur OCG,Esclusiva OCG,Apenas OCG,Exclusivo OCG,ＯＣＧのみ,Only OCG
TCG独有,TCG獨有,TCG Only,TCG uniquement,Nur TCG,Esclusiva TCG,Apenas TCG,Exclusivo TCG,ＴＣＧのみ,Only TCG
先行卡,先行卡,Pre-Release Cards,Carte d'avant-première,Vorabkarten,Carte Pre-Rilascio,Pré-lançamento,Pre-lanzadas,新規カード,신규 카드
效果,效果,Effect,Effet,Effekt,Effetto,Efeito,Efecto,効果,효과
稀有度,稀有度,Rarity,Rareté,Seltenheit,Rarità,Raridade,Rareza,レアリティ,레어리티
UR,UR,UR,UR,UR,UR,UR,UR,ＵＲ,UR
SR,SR,SR,SR,SR,SR,SR,SR,ＳＲ,SR
其它,其它,Other,Autre,Sonstige,Altro,Outros,Otros,その他,기타
召唤卡片切入,召喚卡片切入,Summon Cut-In,Animation d'Invocation,Beschwörungs-Cut-In,Animazione di Evocazione,Animação de Invocação,Animación de la Invocación,召喚カットイン,소환 카드 컷인
超框卡图,超框卡圖,Overframe Card,Carte Overframe,Overframe-Karte,Carta Overframe,Card Overframe,Carta Overframe,オーバーフレーム,오버프레임 카드
数值,數値,Stats,Valeur,Werte,Valore,Valores,Valor,数值,숫자
星数,星數,Level/Rank/Link,Niveau/Rang/Lien,Stufe/Rang/Link,Livello/Rango/Link,Nível/Classe/Link,Lvl/Rnk/Lnk,レベル・ランク・リンク,레벨·랭크·링크
攻击力,攻擊力,Attack,Attaque,ATK,Attacco,ATK,Ataque,攻撃力,공격력
守备力,守備力,Defense,Défense,DEF,Difesa,DEF,Defensa,守備力,수비력
刻度,刻度,Pendulum Scale,Échelle pendule,Pendelbereich,Valore Pendulum,Escala Pêndulo,Escala,スケール,스케일
Genesys分数,Genesys分數,Genesys Points,Points Genesys,Genesys-Punkte,Punti Genesys,Pontos Genesys,Puntos Genesys,ジェネシスポイント,제네시스 포인트
年份,年份,Year,Année,Jahr,Anno,Ano,Año,年,년
连接箭头,連接箭頭,Link Arrow,Flèche de lien,Linkpfeile,Freccie Link,Setas Link,Flecha de Enlace,リンクマーカー,링크 마커
卡包,卡包,Pack,Pack,Packung,Pacchetti,Pacote,PAQUETES,パック,팩
所有卡包,所有卡包,All Packs,Tous les packs,Alle Packs,Tutti i pacchetti,Todos Pacotes,Todos los Paquetes,全パック,모든 팩
#EditDeck Search Order,,,,,,,,,
种类,種類,Type,Type,Typ,Tipo,Tipo,Tipo,種類,종류
等级·阶级·连接,等級·階級·連接,Level/Rank/Link,Niveau/Rang/Lien,Stufe/Rang/Link,Livello/Rango/Link,Nível/Classe/Link,Lvl/Rnk/Lnk,レベル・ランク・リンク,레벨·랭크·링크
#Buttons,,,,,,,,,
Auto,Auto,Auto,Auto,Automatisch,Auto,Auto,Auto,オート,Auto
On,On,On,On,An,On,Ligado,Encendido,ＯＮ,On
Off,Off,Off,Off,Aus,Off,Desligado,Apagado,ＯＦＦ,Off
开,開,ON,ON,JA,ON,Ligado,Activado,オン,켜기
关,關,OFF,OFF,NEIN,OFF,Desligado,Desactivado,オフ,끄기
有,有,ON,ON,AN,ON,Há,Tiene,あり,있음
无,無,OFF,OFF,AUS,OFF,Sem,Ninguno,ない,없음
是,是,Yes,Oui,Ja,Si,Sim,Sí,はい,예
否,否,No,Non,Nein,No,Não,No,いいえ,아니요
确认,确認,Confirm,Confirmer,Bestätigen,Conferma,Confirmar,Confirmar,確認,확인
取消,取消,Cancel,Annuler,Abbrechen,Annulla,Cancelar,Cancelar,キャンセル,취소
选择,選擇,Select,Choisir,Auswählen,Seleziona,Selecionar,Elegir,選択,선택
覆盖,覆蓋,Overwrite,Écraser,Überschreiben,Sovrascrivi,Substituir,Sobrescribir,セット,세트
放弃,放棄,Cancel,Annuler,Abbrechen,Annulla,Descartar,Abandonar,放棄,포기
结束,結束,End,Fin,Beenden,Termina,Terminar,Finalizar,終了,종료
扩大,擴大,Maximize,Maximiser,Maximieren,Massimizza,Ampliar,Maximizar,拡大,확대
缩小,縮小,Minimize,Minimiser,Minimieren,Minimizza,Reduzir,Minimizar,縮小,축소
重试,重試,Retry,Réessayer,Wiederholen,Riprova,Tentar novamente,Repetir,リトライ,재시도
#Duel,,,,,,,,,
未知卡片,未知卡片,Unknown Card,Carte inconnue,Unbekannte Karte,Carta Sconosciuta,Card Desconhecido,Carta Desconocida,不明カード,불명 카드
未知卡表,未知卡表,Unknown Banlist,Liste de bannissement inconnu,Unbekannte Ban-Liste,Lista Di Carte Probiite & Limitate Sconosciuta,Lista de Restrições Desconhecida,Banlist Desconocida,Ｎ／Ａ,N/A
【灵摆效果】,【靈擺效果】,[Pendulum Effect],[Effet Pendule],[Pendeleffekt],[Effetto Pendulum],[Efeito de Pêndulo],[Efecto de Péndulo],【ペンデュラム効果】,【펜듈럼 효과】
【怪兽效果】,【怪獸效果】,[Monster Effect],[Effet de Monstre],[Monstereffekt],[Effetto di un Mostro],[Efeito de Monstro],[Efecto de Monstruo],【モンスター効果】,【몬스터 효과】
【怪兽描述】,【怪獸描述】,[Monster Description],[Description du monstre],[Monster Beschreibung],[Descrizione Del Mostro],[Descrição],[Descripción del Monstruo],【モンスターテキスト】,【몬스터 텍스트】
召唤,召喚,Summon,Invoquer,Beschwören,Evocazione,Invocar,Invocar,召喚,일반 소환
特殊召唤,特殊召喚,Special Summon,Invocation Spéciale,Spezialbeschwörung,Evocazione Speciale,Invocação Especial,Invocación Especial,特殊召喚,특수 소환
反转召唤,反轉召喚,Flip Summon,Invocation Flip,Flippbeschwörung,Evocazione Per Scoperta,Invocação por Virar,Invocación por Volteo,反転召喚,반전 소환
灵摆召唤,靈擺召喚,Pendulum Summon,Invocation Pendule,Pendelbeschwören Sie,Evocazione Pendulum,Invocação Pêndulo,Invocación por Péndulo,ペンデュラム召喚,펜듈럼 소환
灵摆发动,靈擺發動,Activate as Pendulum Scale,Échelle Pendule,P-Skala,Attiva Pendulum,Ativar como Escala de Pêndulo,Poner en Zona de Péndulo,ペンデュラム効果発動,펜듈럼 효과 발동
发动效果,發動效果,Activate Effect,Activer Effet,Effektaktivierung,Attiva Effetto,Ativar Efeito,Activar Efecto,効果発動,효과 발동
变为攻击表示,變為攻擊表示,Change to Attack Position,Changer en position d'attaque,Zu Angriffsposition ändern,Cambia In Posizione Di Attacco,Mudar para Ataque,Cambiar a Posición de Ataque,攻撃表示になる,공격 표시로 변경
变为守备表示,變為守備表示,Change to Defense Position,Changer en position de défense,Zu Verteidigungsposition ändern,Cambia In Posizione Di Difesa,Mudar para Defesa,Cambiar a Posición de Defensa,守備表示になる,수비 표시로 변경
「[?]」被发动时,「[?]」被發動時,"""[?]"" is Activated","""[?]"" a été activé",„[?]“ wurde aktiviert,"""[?]"" è stato attivato","""[?]"" foi ativado","""[?]"" fue activado",「[?]」が発動された時,「[?]」이(가) 발동했을 때
「[?]」特殊召唤宣言时,「[?]」特殊召喚宣言時,"""[?]"" is Special Summoned","""[?]"" a été invoqué spécialement",„[?]“ wurde als Spezialbeschwörung beschworen,"""[?]"" è stato evocato specialmente","""[?]"" foi Invocado por Invocação-Especial","""[?]"" fue Invocado de Modo Especial",「[?]」特殊召喚宣言時,「[?]」특수 소환 선언했을 때
「[?]」通常召唤宣言时,「[?]」通常召喚宣言時,"""[?]"" is Normal Summoned","""[?]"" a été invoqué normalement",„[?]“ wurde als Normalbeschwörung beschworen,"""[?]"" è stato evocato normalmente","""[?]"" foi Invocado por Invocação-Normal","""[?]"" fue Invocado de Modo Normal",「[?]」通常召喚宣言時,「[?]」일반 소환 선언했을 때
「[?]」反转召唤宣言时,「[?]」反轉召喚宣言時,"""[?]""is Flip Summoned","""[?]"" a été invoqué par Flip",„[?]“ wurde als Flippbeschwörung beschworen,"""[?]"" è stato evocato tramite scoperta","""[?]"" foi Invocado por Virar","""[?]"" fue Invocado por Volteo",「[?]」反転召喚宣言時,「[?]」반전 소환 선언했을 때
「[?]」攻击时,「[?]」攻擊時,"""[?]"" attacks","""[?]"" attaque",„[?]“ greift an,"""[?]"" attacca","""[?]"" está a atacar","""[?]"" está atacando",「[?]」攻撃時,「[?]」공격했을 때
攻击被无效时,攻擊被無效時,Attack negated,L'attaque est annulée,Angriff wurde annulliert,Attacco Negato,Ataque negado,El ataque ha sido negado,攻撃が無効時,공격이 무효화되었을 때
游戏胜利，原因：[?],遊戲勝利，原因：[?],"Victory, Reason: [?]",Victoire,"Sieg, Grund: [?]",Vittoria Per Via Di: [?],Vitória: [?],"¡Haz ganado el duelo!, motivo: [?]",ゲーム勝利：[?],게임 승리：[?]
游戏败北，原因：[?],遊戲敗北，原因：[?],"Defeat, reason: [?]",Vaincu,"Niederlage, Grund: [?]",Sconfitta Per Via Di: [?],Derrota: [?],"¡Haz perdido el duelo!, motivo: [?]",ゲーム敗北：[?],게임 패배：[?]
我方抽卡时,我方抽牌時,You draw,Vous piochez la ou les cartes,Du ziehst Karte(n),Peschi Dal Deck,Você compra,Robas la(s) carta(s),自分はカードドローした時,자신이 카드를 드로우했을 때
对方抽卡时,對方抽牌時,Your opponent draws,L'adversaire tire la ou les cartes,Gegner zieht Karte(n),L'Avversario Pesca Dal Deck,Oponente compra,El adversario roba la(s) carta(s),相手はカードドローした時,상대가 카드를 드로우했을 때
我方生命值回复时,我方生命値回復時,Your LP increase,LP gagnés,Deine LP wurden erhöht,I Tuoi LP Sono Aumentati,Você ganhou PV,Tus LP aumentaron,自分はＬＰを回復した時,자신이 LP를 회복했을 때
对方生命值回复时,對方生命値回復時,Your opponent's LP increase,LP de l'adversaire gagnés,LP des Gegners wurden erhöht,Gli LP Dell'avversario Sono Aumentati,Oponente ganhou PV,Los LP del adversario aumentaron,相手はＬＰを回復した時,상대가 LP를 회복했을 때
我方受到伤害时,我方受到傷害時,You take damage,Les dommages vous ont été infligés,Dir wurde Schaden zugefügt,Danno Ricevuto,Você levou dano,Recibes daño,自分はダメージを受けた時,자신이 데미지를 받았을 때
对方受到伤害时,對方受到傷害時,Your opponent takes damage,Dommages infligés à l'adversaire,Gegner hat Schaden erhalten,Danno Inflitto All'avversario,Oponente levou dano,El adversario recibe daño,相手はダメージを受けた時,상대가 데미지를 받았을 때
硬币正面,硬幣正面,Heads,Face,Kopf,Testa,Cara,Cara,コイントス表,코인 토스 앞면
硬币反面,硬幣反面,Tails,Pile,Zahl,Croce,Coroa,Cruz,コイントス裏,코인 토스 뒷면
骰子结果：[?],骰子結果：[?],Dice Result: [?],Résultat des dés : [?],Würfelergebnis: [?],Risultato Del Dado: [?],Dado: [?],Resultado del Dado: [?],ダイス結果：[?],주사위 결과：[?]
效果选择：[?],效果選擇：[?],Effect Choose：[?],Choisir Effet : [?],Effektwahl: [?],Effetto Scelto： [?],Efeito escolhido: [?],Efecto Elegido: [?],効果選択：[?],효과 선택：[?]
种族选择：[?],種族選擇：[?],Select Type: [?],Sélectionnez Type : [?],Typ wählen: [?],Tipo Scelto: [?],Tipo escolhido: [?],Raza Elegida: [?],種族選択：[?],종족 선택：[?]
属性选择：[?],屬性選擇：[?],Select Attribute: [?],Sélectionnez l'attribut : [?],Eigenschaft wählen: [?],Attributo Scelto: [?],Atributo escolhido: [?],Atributo Elegido: [?],属性選択：[?],속성 선택：[?]
数字选择：[?],數字選擇：[?],Select Number: [?],Sélectionnez le numéro : [?],Zahl wählen: [?],Numero Scelto: [?],Número escolhido: [?],Número Elegido: [?],数値選択：[?],숫자 선택：[?]
区域选择：[?],區域選擇：[?],Select Zone: [?],Sélectionnez la zone : [?],Zone wählen: [?],Zona Scelta: [?],Zona escolhida: [?],Zona Elegida: [?],位置選択：[?],존선택：[?]
对象选择：[?],对象選擇：[?],Select Target: [?],Sélectionnez la cible : [?],Ziel wählen: [?],Bersaglio Scelto: [?],Alvo escolhido: [?],Objetivo Elegido: [?],対象選択：[?],대상 선택：[?]
